"species","common.name","label","longitude","latitude","site.type","year","pct.freq","avg.cov","invasive"
"Acer rubrum","red maple","Little Hunter's Brook",-68.2134901,44.30421097,"Sentinel",2011,80,0.08,FALSE
"Acer rubrum","red maple","RAM-19",-68.20691532,44.36620222,"RAM",2018,25,NA,FALSE
"Acer rubrum","red maple","RAM-26",-68.28860457,44.32545225,"RAM",2019,100,NA,FALSE
"Acer rubrum","red maple","RAM-24",-68.3101661,44.23782062,"RAM",2019,100,NA,FALSE
"Acer rubrum","red maple","RAM-13",-68.2118443,44.36900451,"RAM",2018,100,NA,FALSE
"Acer rubrum","red maple","RAM-22",-68.3841871,44.33756254,"RAM",2019,100,NA,FALSE
"Acer rubrum","red maple","RAM-30",-68.23693131,44.38148925,"RAM",2019,100,NA,FALSE
"Alnus incana ssp. Rugosa","speckled alder","RAM-17",-68.25500862,44.38420813,"RAM",2018,25,NA,FALSE
"Alnus incana","gray alder","RAM-23",-68.24042204,44.39152054,"RAM",2019,100,NA,FALSE
"Alnus incana","gray alder","RAM-21",-68.35327308,44.27259396,"RAM",2019,100,NA,FALSE
"Alnus incana","gray alder","RAM-16",-68.3481271,44.27841031,"RAM",2018,100,NA,FALSE
"Alnus incana","gray alder","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Alnus incana","gray alder","RAM-30",-68.23693131,44.38148925,"RAM",2019,100,NA,FALSE
"Alnus incana","gray alder","Little Hunter's Brook",-68.2134901,44.30421097,"Sentinel",2011,80,2.6,FALSE
"Alnus incana","gray alder","RAM-13",-68.2118443,44.36900451,"RAM",2018,75,NA,FALSE
"Alnus incana","gray alder","RAM-11",-68.06659455,44.35799607,"RAM",2018,100,NA,FALSE
"Alnus incana","gray alder","RAM-29",-68.37987394,44.3424227,"RAM",2019,75,NA,FALSE
"Alnus incana","gray alder","Heath Brook",-68.36971394,44.27832207,"Sentinel",2011,100,6.2,FALSE
"Alnus incana","gray alder","Frazer Fen",-68.06153589,44.36231448,"Sentinel",2011,40,0.04,FALSE
"Alnus incana","gray alder","RAM-26",-68.28860457,44.32545225,"RAM",2019,100,NA,FALSE
"Alnus incana","gray alder","RAM-25",-68.34868052,44.28223972,"RAM",2019,100,NA,FALSE
"Alnus incana","gray alder","RAM-22",-68.3841871,44.33756254,"RAM",2019,25,NA,FALSE
"Alnus incana","gray alder","RAM-27",-68.18229706,44.34310574,"RAM",2019,75,NA,FALSE
"Alnus viridis","green alder","Great Meadow (IAH)",-68.61602787,44.04849142,"Sentinel",2011,20,0.02,FALSE
"Alnus viridis","green alder","New Mills Meadow",-68.23956376,44.390978,"Sentinel",2011,20,0.2,FALSE
"Amelanchier","serviceberry","Big Heath",-68.32040359,44.23614962,"Sentinel",2011,20,0.02,FALSE
"Amelanchier","serviceberry","RAM-30",-68.23693131,44.38148925,"RAM",2019,50,NA,FALSE
"Amelanchier","serviceberry","Western Mtn. Swamp",-68.36793572,44.28553673,"Sentinel",2011,80,0.08,FALSE
"Amelanchier","serviceberry","RAM-13",-68.2118443,44.36900451,"RAM",2018,25,NA,FALSE
"Amelanchier","serviceberry","RAM-16",-68.3481271,44.27841031,"RAM",2018,100,NA,FALSE
"Amelanchier","serviceberry","RAM-29",-68.37987394,44.3424227,"RAM",2019,75,NA,FALSE
"Amelanchier","serviceberry","RAM-27",-68.18229706,44.34310574,"RAM",2019,25,NA,FALSE
"Amelanchier","serviceberry","RAM-20",-68.34977938,44.25974494,"RAM",2018,100,NA,FALSE
"Amelanchier","serviceberry","RAM-14",-68.31592878,44.41210554,"RAM",2018,75,NA,FALSE
"Amelanchier","serviceberry","RAM-22",-68.3841871,44.33756254,"RAM",2019,100,NA,FALSE
"Amelanchier","serviceberry","RAM-28",-68.2929369,44.38005757,"RAM",2019,75,NA,FALSE
"Amelanchier","serviceberry","RAM-24",-68.3101661,44.23782062,"RAM",2019,75,NA,FALSE
"Amelanchier","serviceberry","Heath Brook",-68.36971394,44.27832207,"Sentinel",2011,20,0.02,FALSE
"Amelanchier","serviceberry","RAM-26",-68.28860457,44.32545225,"RAM",2019,100,NA,FALSE
"Amelanchier","serviceberry","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Amelanchier","serviceberry","RAM-25",-68.34868052,44.28223972,"RAM",2019,25,NA,FALSE
"Amelanchier","serviceberry","Frazer Fen",-68.06153589,44.36231448,"Sentinel",2011,80,0.26,FALSE
"Amelanchier","serviceberry","RAM-18",-68.29573187,44.37963654,"RAM",2018,25,NA,FALSE
"Andromeda polifolia","bog rosemary","New Mills Meadow",-68.23956376,44.390978,"Sentinel",2011,100,7.04,FALSE
"Andromeda polifolia","bog rosemary","RAM-28",-68.2929369,44.38005757,"RAM",2019,50,NA,FALSE
"Andromeda polifolia","bog rosemary","Big Heath",-68.32040359,44.23614962,"Sentinel",2011,80,2.22,FALSE
"Andromeda polifolia","bog rosemary","RAM-18",-68.29573187,44.37963654,"RAM",2018,100,NA,FALSE
"Andromeda polifolia","bog rosemary","RAM-23",-68.24042204,44.39152054,"RAM",2019,100,NA,FALSE
"Anemone quinquefolia","wood anemone","RAM-27",-68.18229706,44.34310574,"RAM",2019,25,NA,FALSE
"Aralia nudicaulis","wild sarsaparilla","RAM-26",-68.28860457,44.32545225,"RAM",2019,25,NA,FALSE
"Aralia nudicaulis","wild sarsaparilla","RAM-30",-68.23693131,44.38148925,"RAM",2019,100,NA,FALSE
"Aralia nudicaulis","wild sarsaparilla","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Aralia nudicaulis","wild sarsaparilla","RAM-22",-68.3841871,44.33756254,"RAM",2019,75,NA,FALSE
"Aralia nudicaulis","wild sarsaparilla","Hodgdon Swamp",-68.39378049,44.32866631,"Sentinel",2011,20,0.02,FALSE
"Aralia nudicaulis","wild sarsaparilla","RAM-20",-68.34977938,44.25974494,"RAM",2018,75,NA,FALSE
"Aronia melanocarpa","black chokeberry","RAM-23",-68.24042204,44.39152054,"RAM",2019,100,NA,FALSE
"Aronia melanocarpa","black chokeberry","Great Meadow (IAH)",-68.61602787,44.04849142,"Sentinel",2011,80,0.08,FALSE
"Aronia melanocarpa","black chokeberry","RAM-30",-68.23693131,44.38148925,"RAM",2019,25,NA,FALSE
"Aronia melanocarpa","black chokeberry","New Mills Meadow",-68.23956376,44.390978,"Sentinel",2011,100,0.1,FALSE
"Aronia melanocarpa","black chokeberry","RAM-14",-68.31592878,44.41210554,"RAM",2018,100,NA,FALSE
"Aronia melanocarpa","black chokeberry","RAM-12",-68.31633807,44.41337469,"RAM",2018,100,NA,FALSE
"Aronia melanocarpa","black chokeberry","RAM-28",-68.2929369,44.38005757,"RAM",2019,100,NA,FALSE
"Aronia melanocarpa","black chokeberry","Duck Pond",-68.37978134,44.319544,"Sentinel",2011,100,0.1,FALSE
"Aronia melanocarpa","black chokeberry","Frazer Fen",-68.06153589,44.36231448,"Sentinel",2011,100,0.84,FALSE
"Aronia melanocarpa","black chokeberry","RAM-24",-68.3101661,44.23782062,"RAM",2019,100,NA,FALSE
"Aronia melanocarpa","black chokeberry","RAM-26",-68.28860457,44.32545225,"RAM",2019,25,NA,FALSE
"Aronia melanocarpa","black chokeberry","RAM-18",-68.29573187,44.37963654,"RAM",2018,100,NA,FALSE
"Aronia melanocarpa","black chokeberry","RAM-20",-68.34977938,44.25974494,"RAM",2018,100,NA,FALSE
"Aronia melanocarpa","black chokeberry","Little Hunter's Brook",-68.2134901,44.30421097,"Sentinel",2011,40,0.04,FALSE
"Aronia melanocarpa","black chokeberry","RAM-27",-68.18229706,44.34310574,"RAM",2019,25,NA,FALSE
"Aronia melanocarpa","black chokeberry","Big Heath",-68.32040359,44.23614962,"Sentinel",2011,100,2.64,FALSE
"Aronia melanocarpa","black chokeberry","RAM-19",-68.20691532,44.36620222,"RAM",2018,25,NA,FALSE
"Athyrium filix-femina","common ladyfern","RAM-16",-68.3481271,44.27841031,"RAM",2018,25,NA,FALSE
"Athyrium filix-femina","common ladyfern","RAM-21",-68.35327308,44.27259396,"RAM",2019,25,NA,FALSE
"Berberis thunbergii","Japanese barberry","RAM-16",-68.3481271,44.27841031,"RAM",2018,25,NA,TRUE
"Berberis thunbergii","Japanese barberry","RAM-21",-68.35327308,44.27259396,"RAM",2019,50,NA,TRUE
"Berberis thunbergii","Japanese barberry","RAM-29",-68.37987394,44.3424227,"RAM",2019,25,NA,TRUE
"Betula alleghaniensis","yellow birch","Western Mtn. Swamp",-68.36793572,44.28553673,"Sentinel",2011,60,0.06,FALSE
"Betula alleghaniensis","yellow birch","RAM-29",-68.37987394,44.3424227,"RAM",2019,50,NA,FALSE
"Betula alleghaniensis","yellow birch","Hodgdon Swamp",-68.39378049,44.32866631,"Sentinel",2011,20,1.2,FALSE
"Betula alleghaniensis","yellow birch","RAM-30",-68.23693131,44.38148925,"RAM",2019,25,NA,FALSE
"Betula alleghaniensis","yellow birch","RAM-22",-68.3841871,44.33756254,"RAM",2019,25,NA,FALSE
"Betula alleghaniensis","yellow birch","RAM-15",-68.39214231,44.29095012,"RAM",2018,75,NA,FALSE
"Betula cordifolia","mountain paper birch","RAM-26",-68.28860457,44.32545225,"RAM",2019,50,NA,FALSE
"Betula papyrifera","paper birch","Hodgdon Swamp",-68.39378049,44.32866631,"Sentinel",2011,60,0.84,FALSE
"Betula papyrifera","paper birch","RAM-25",-68.34868052,44.28223972,"RAM",2019,25,NA,FALSE
"Betula papyrifera","paper birch","RAM-21",-68.35327308,44.27259396,"RAM",2019,25,NA,FALSE
"Betula papyrifera","paper birch","Western Mtn. Swamp",-68.36793572,44.28553673,"Sentinel",2011,100,0.1,FALSE
"Betula papyrifera","paper birch","RAM-29",-68.37987394,44.3424227,"RAM",2019,25,NA,FALSE
"Betula papyrifera","paper birch","RAM-30",-68.23693131,44.38148925,"RAM",2019,50,NA,FALSE
"Betula populifolia","gray birch","RAM-22",-68.3841871,44.33756254,"RAM",2019,25,NA,FALSE
"Betula populifolia","gray birch","RAM-11",-68.06659455,44.35799607,"RAM",2018,50,NA,FALSE
"Betula populifolia","gray birch","RAM-14",-68.31592878,44.41210554,"RAM",2018,50,NA,FALSE
"Betula populifolia","gray birch","RAM-27",-68.18229706,44.34310574,"RAM",2019,50,NA,FALSE
"Betula populifolia","gray birch","Duck Pond",-68.37978134,44.319544,"Sentinel",2011,20,0.02,FALSE
"Betula populifolia","gray birch","RAM-30",-68.23693131,44.38148925,"RAM",2019,100,NA,FALSE
"Betula populifolia","gray birch","RAM-24",-68.3101661,44.23782062,"RAM",2019,75,NA,FALSE
"Betula populifolia","gray birch","RAM-23",-68.24042204,44.39152054,"RAM",2019,50,NA,FALSE
"Betula populifolia","gray birch","RAM-13",-68.2118443,44.36900451,"RAM",2018,50,NA,FALSE
"Brachyelytrum aristosum","northern shorthusk","RAM-16",-68.3481271,44.27841031,"RAM",2018,100,NA,FALSE
"Brachyelytrum aristosum","northern shorthusk","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Brachyelytrum aristosum","northern shorthusk","RAM-21",-68.35327308,44.27259396,"RAM",2019,75,NA,FALSE
"Brasenia schreberi","watershield","RAM-17",-68.25500862,44.38420813,"RAM",2018,25,NA,FALSE
"Brasenia schreberi","watershield","Gilmore Meadow",-68.27163738,44.36272678,"Sentinel",2011,20,0.02,FALSE
"Calamagrostis canadensis","bluejoint","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Calamagrostis canadensis","bluejoint","RAM-23",-68.24042204,44.39152054,"RAM",2019,25,NA,FALSE
"Calamagrostis canadensis","bluejoint","Little Hunter's Brook",-68.2134901,44.30421097,"Sentinel",2011,100,11.6,FALSE
"Calamagrostis canadensis","bluejoint","RAM-27",-68.18229706,44.34310574,"RAM",2019,100,NA,FALSE
"Calamagrostis canadensis","bluejoint","RAM-21",-68.35327308,44.27259396,"RAM",2019,100,NA,FALSE
"Calamagrostis canadensis","bluejoint","RAM-11",-68.06659455,44.35799607,"RAM",2018,100,NA,FALSE
"Calamagrostis canadensis","bluejoint","New Mills Meadow",-68.23956376,44.390978,"Sentinel",2011,20,0.02,FALSE
"Calamagrostis canadensis","bluejoint","RAM-25",-68.34868052,44.28223972,"RAM",2019,100,NA,FALSE
"Calamagrostis canadensis","bluejoint","Gilmore Meadow",-68.27163738,44.36272678,"Sentinel",2011,60,0.84,FALSE
"Calamagrostis canadensis","bluejoint","RAM-17",-68.25500862,44.38420813,"RAM",2018,25,NA,FALSE
"Calamagrostis canadensis","bluejoint","RAM-13",-68.2118443,44.36900451,"RAM",2018,100,NA,FALSE
"Calamagrostis canadensis","bluejoint","RAM-29",-68.37987394,44.3424227,"RAM",2019,100,NA,FALSE
"Calamagrostis canadensis","bluejoint","RAM-19",-68.20691532,44.36620222,"RAM",2018,100,NA,FALSE
"Calamagrostis canadensis","bluejoint","RAM-30",-68.23693131,44.38148925,"RAM",2019,100,NA,FALSE
"Calamagrostis canadensis","bluejoint","Heath Brook",-68.36971394,44.27832207,"Sentinel",2011,80,0.62,FALSE
"Calamagrostis canadensis","bluejoint","RAM-16",-68.3481271,44.27841031,"RAM",2018,100,NA,FALSE
"Calamagrostis canadensis","bluejoint","RAM-26",-68.28860457,44.32545225,"RAM",2019,100,NA,FALSE
"Cardamine pensylvanica","Quaker bittercress","RAM-21",-68.35327308,44.27259396,"RAM",2019,25,NA,FALSE
"Carex arctata","drooping woodland sedge","RAM-30",-68.23693131,44.38148925,"RAM",2019,25,NA,FALSE
"Carex atlantica","prickly bog sedge","Western Mtn. Swamp",-68.36793572,44.28553673,"Sentinel",2011,40,2.02,FALSE
"Carex atlantica","prickly bog sedge","RAM-26",-68.28860457,44.32545225,"RAM",2019,25,NA,FALSE
"Carex atlantica","prickly bog sedge","RAM-24",-68.3101661,44.23782062,"RAM",2019,50,NA,FALSE
"Carex atlantica","prickly bog sedge","RAM-25",-68.34868052,44.28223972,"RAM",2019,50,NA,FALSE
"Carex atlantica","prickly bog sedge","RAM-27",-68.18229706,44.34310574,"RAM",2019,100,NA,FALSE
"Carex brunnescens","brownish sedge","RAM-27",-68.18229706,44.34310574,"RAM",2019,100,NA,FALSE
"Carex brunnescens","brownish sedge","RAM-25",-68.34868052,44.28223972,"RAM",2019,75,NA,FALSE
"Carex brunnescens","brownish sedge","RAM-26",-68.28860457,44.32545225,"RAM",2019,25,NA,FALSE
"Carex canescens","silvery sedge","RAM-13",-68.2118443,44.36900451,"RAM",2018,50,NA,FALSE
"Carex cryptolepis","northeastern sedge","RAM-27",-68.18229706,44.34310574,"RAM",2019,50,NA,FALSE
"Carex debilis","white edge sedge","RAM-16",-68.3481271,44.27841031,"RAM",2018,50,NA,FALSE
"Carex debilis","white edge sedge","RAM-15",-68.39214231,44.29095012,"RAM",2018,50,NA,FALSE
"Carex echinata","star sedge","RAM-21",-68.35327308,44.27259396,"RAM",2019,75,NA,FALSE
"Carex echinata","star sedge","RAM-26",-68.28860457,44.32545225,"RAM",2019,50,NA,FALSE
"Carex echinata","star sedge","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Carex exilis","coastal sedge","RAM-24",-68.3101661,44.23782062,"RAM",2019,75,NA,FALSE
"Carex exilis","coastal sedge","RAM-18",-68.29573187,44.37963654,"RAM",2018,100,NA,FALSE
"Carex exilis","coastal sedge","RAM-23",-68.24042204,44.39152054,"RAM",2019,25,NA,FALSE
"Carex exilis","coastal sedge","Duck Pond",-68.37978134,44.319544,"Sentinel",2011,100,5.04,FALSE
"Carex exilis","coastal sedge","New Mills Meadow",-68.23956376,44.390978,"Sentinel",2011,40,11.2,FALSE
"Carex exilis","coastal sedge","Big Heath",-68.32040359,44.23614962,"Sentinel",2011,60,6.6,FALSE
"Carex folliculata","long sedge","RAM-24",-68.3101661,44.23782062,"RAM",2019,100,NA,FALSE
"Carex folliculata","long sedge","RAM-21",-68.35327308,44.27259396,"RAM",2019,50,NA,FALSE
"Carex folliculata","long sedge","RAM-11",-68.06659455,44.35799607,"RAM",2018,100,NA,FALSE
"Carex folliculata","long sedge","RAM-29",-68.37987394,44.3424227,"RAM",2019,25,NA,FALSE
"Carex folliculata","long sedge","RAM-30",-68.23693131,44.38148925,"RAM",2019,75,NA,FALSE
"Carex folliculata","long sedge","RAM-26",-68.28860457,44.32545225,"RAM",2019,75,NA,FALSE
"Carex folliculata","long sedge","RAM-15",-68.39214231,44.29095012,"RAM",2018,75,NA,FALSE
"Carex folliculata","long sedge","RAM-27",-68.18229706,44.34310574,"RAM",2019,25,NA,FALSE
"Carex folliculata","long sedge","Western Mtn. Swamp",-68.36793572,44.28553673,"Sentinel",2011,80,0.84,FALSE
"Carex gynandra","nodding sedge","RAM-21",-68.35327308,44.27259396,"RAM",2019,75,NA,FALSE
"Carex gynandra","nodding sedge","RAM-11",-68.06659455,44.35799607,"RAM",2018,50,NA,FALSE
"Carex gynandra","nodding sedge","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Carex intumescens","greater bladder sedge","RAM-16",-68.3481271,44.27841031,"RAM",2018,25,NA,FALSE
"Carex intumescens","greater bladder sedge","RAM-26",-68.28860457,44.32545225,"RAM",2019,25,NA,FALSE
"Carex lacustris","hairy sedge","RAM-27",-68.18229706,44.34310574,"RAM",2019,100,NA,FALSE
"Carex lacustris","hairy sedge","RAM-25",-68.34868052,44.28223972,"RAM",2019,100,NA,FALSE
"Carex lacustris","hairy sedge","RAM-19",-68.20691532,44.36620222,"RAM",2018,100,NA,FALSE
"Carex lacustris","hairy sedge","RAM-13",-68.2118443,44.36900451,"RAM",2018,100,NA,FALSE
"Carex lacustris","hairy sedge","RAM-21",-68.35327308,44.27259396,"RAM",2019,100,NA,FALSE
"Carex lacustris","hairy sedge","RAM-16",-68.3481271,44.27841031,"RAM",2018,25,NA,FALSE
"Carex lasiocarpa","woolly-fruit sedge","Heath Brook",-68.36971394,44.27832207,"Sentinel",2011,20,4,FALSE
"Carex lasiocarpa","woolly-fruit sedge","Duck Pond",-68.37978134,44.319544,"Sentinel",2011,40,0.04,FALSE
"Carex lasiocarpa","woolly-fruit sedge","RAM-23",-68.24042204,44.39152054,"RAM",2019,100,NA,FALSE
"Carex lasiocarpa","woolly-fruit sedge","RAM-19",-68.20691532,44.36620222,"RAM",2018,100,NA,FALSE
"Carex lasiocarpa","woolly-fruit sedge","New Mills Meadow",-68.23956376,44.390978,"Sentinel",2011,80,11,FALSE
"Carex lasiocarpa","woolly-fruit sedge","Little Hunter's Brook",-68.2134901,44.30421097,"Sentinel",2011,100,20.4,FALSE
"Carex lasiocarpa","woolly-fruit sedge","RAM-18",-68.29573187,44.37963654,"RAM",2018,25,NA,FALSE
"Carex lasiocarpa","woolly-fruit sedge","Gilmore Meadow",-68.27163738,44.36272678,"Sentinel",2011,100,63,FALSE
"Carex limosa","mud sedge","Hodgdon Swamp",-68.39378049,44.32866631,"Sentinel",2011,20,0.02,FALSE
"Carex lucorum","Blue Ridge sedge","RAM-21",-68.35327308,44.27259396,"RAM",2019,75,NA,FALSE
"Carex lucorum","Blue Ridge sedge","RAM-15",-68.39214231,44.29095012,"RAM",2018,50,NA,FALSE
"Carex lurida","shallow sedge","RAM-16",-68.3481271,44.27841031,"RAM",2018,25,NA,FALSE
"Carex lurida","shallow sedge","RAM-15",-68.39214231,44.29095012,"RAM",2018,100,NA,FALSE
"Carex lurida","shallow sedge","RAM-21",-68.35327308,44.27259396,"RAM",2019,100,NA,FALSE
"Carex magellanica","boreal bog sedge","RAM-11",-68.06659455,44.35799607,"RAM",2018,100,NA,FALSE
"Carex magellanica","boreal bog sedge","RAM-20",-68.34977938,44.25974494,"RAM",2018,25,NA,FALSE
"Carex Ovalis group",NA,"RAM-21",-68.35327308,44.27259396,"RAM",2019,75,NA,FALSE
"Carex pauciflora","fewflower sedge","RAM-18",-68.29573187,44.37963654,"RAM",2018,50,NA,FALSE
"Carex pauciflora","fewflower sedge","Western Mtn. Swamp",-68.36793572,44.28553673,"Sentinel",2011,60,0.06,FALSE
"Carex scabrata","eastern rough sedge","RAM-15",-68.39214231,44.29095012,"RAM",2018,25,NA,FALSE
"Carex stipata","stalk-grain sedge","RAM-21",-68.35327308,44.27259396,"RAM",2019,50,NA,FALSE
"Carex stipata","stalk-grain sedge","RAM-25",-68.34868052,44.28223972,"RAM",2019,75,NA,FALSE
"Carex stricta","upright sedge","RAM-24",-68.3101661,44.23782062,"RAM",2019,100,NA,FALSE
"Carex stricta","upright sedge","Frazer Fen",-68.06153589,44.36231448,"Sentinel",2011,100,50,FALSE
"Carex stricta","upright sedge","Hodgdon Swamp",-68.39378049,44.32866631,"Sentinel",2011,20,8,FALSE
"Carex stricta","upright sedge","RAM-29",-68.37987394,44.3424227,"RAM",2019,100,NA,FALSE
"Carex stricta","upright sedge","Heath Brook",-68.36971394,44.27832207,"Sentinel",2011,100,16.6,FALSE
"Carex stricta","upright sedge","RAM-13",-68.2118443,44.36900451,"RAM",2018,100,NA,FALSE
"Carex stricta","upright sedge","RAM-25",-68.34868052,44.28223972,"RAM",2019,100,NA,FALSE
"Carex stricta","upright sedge","RAM-27",-68.18229706,44.34310574,"RAM",2019,100,NA,FALSE
"Carex stricta","upright sedge","Little Hunter's Brook",-68.2134901,44.30421097,"Sentinel",2011,80,15.24,FALSE
"Carex stricta","upright sedge","RAM-15",-68.39214231,44.29095012,"RAM",2018,50,NA,FALSE
"Carex stricta","upright sedge","Gilmore Meadow",-68.27163738,44.36272678,"Sentinel",2011,60,0.44,FALSE
"Carex stricta","upright sedge","RAM-26",-68.28860457,44.32545225,"RAM",2019,100,NA,FALSE
"Carex stricta","upright sedge","RAM-23",-68.24042204,44.39152054,"RAM",2019,100,NA,FALSE
"Carex stricta","upright sedge","RAM-30",-68.23693131,44.38148925,"RAM",2019,100,NA,FALSE
"Carex stricta","upright sedge","Duck Pond",-68.37978134,44.319544,"Sentinel",2011,100,20.42,FALSE
"Carex stricta","upright sedge","RAM-16",-68.3481271,44.27841031,"RAM",2018,100,NA,FALSE
"Carex stricta","upright sedge","RAM-19",-68.20691532,44.36620222,"RAM",2018,100,NA,FALSE
"Carex stricta","upright sedge","New Mills Meadow",-68.23956376,44.390978,"Sentinel",2011,60,1.82,FALSE
"Carex stricta","upright sedge","RAM-21",-68.35327308,44.27259396,"RAM",2019,100,NA,FALSE
"Carex stricta","upright sedge","RAM-17",-68.25500862,44.38420813,"RAM",2018,25,NA,FALSE
"Carex trisperma","threeseeded sedge","Frazer Fen",-68.06153589,44.36231448,"Sentinel",2011,60,0.06,FALSE
"Carex trisperma","threeseeded sedge","RAM-24",-68.3101661,44.23782062,"RAM",2019,50,NA,FALSE
"Carex trisperma","threeseeded sedge","Hodgdon Swamp",-68.39378049,44.32866631,"Sentinel",2011,100,51,FALSE
"Carex trisperma","threeseeded sedge","RAM-29",-68.37987394,44.3424227,"RAM",2019,100,NA,FALSE
"Carex trisperma","threeseeded sedge","RAM-30",-68.23693131,44.38148925,"RAM",2019,50,NA,FALSE
"Carex trisperma","threeseeded sedge","RAM-18",-68.29573187,44.37963654,"RAM",2018,100,NA,FALSE
"Carex trisperma","threeseeded sedge","Western Mtn. Swamp",-68.36793572,44.28553673,"Sentinel",2011,100,39,FALSE
"Carex trisperma","threeseeded sedge","RAM-22",-68.3841871,44.33756254,"RAM",2019,100,NA,FALSE
"Carex trisperma","threeseeded sedge","RAM-16",-68.3481271,44.27841031,"RAM",2018,100,NA,FALSE
"Carex trisperma","threeseeded sedge","RAM-28",-68.2929369,44.38005757,"RAM",2019,50,NA,FALSE
