"site.name","local.id","site.type","year","xcoord","ycoord","mean.coc","inv.cov","bryo.cov","strtol.cov","vmmi","vmmi.rating","notes"
"NWCA11-R309","HODG","SEN",2011,548334.021846,4908555.80487,4.83,0,96.8,55.42,75.46728892,"Good","Hodgdon Swamp"
"NWCA16-R309","HODG","SEN",2016,548334.021846,4908555.80487,4.68571428571429,0,99,85,68.9494903238678,"Good","Hodgdon Swamp"
"NWC21-ME-HP309","HODG","SEN",2021,548334.021846,4908555.80487,4.65185185185185,0,98.4,85.4,68.5241839346901,"Good","Hodgdon Swamp"
"NWCA11-R305","LIHU","SEN",2011,562734.687133,4905961.53258,4.11,0,90.6,19.42,75.8408837,"Good","Little Hunter's Brook"
"NWCA16-R305","LIHU","SEN",2016,562734.687133,4905961.53258,4.05434782608696,0,83,37.88,69.8978136301572,"Good","Little Hunter's Brook"
"NWC21-ME-HP305","LIHU","SEN",2021,562734.687133,4905961.53258,4.01190476190476,0,95.6,35.76,73.2732279230597,"Good","Little Hunter's Brook"
"NWCA11-R306","NEMI","SEN",2011,560565.544666,4915579.55217,5.38,0,93.4,1.16,87.09494904,"Good","New Mills- North"
"NWCA16-R306","NEMI","SEN",2016,560565.544666,4915579.55217,5.6,0,99,1.9,89.6753153140882,"Good","New Mills- North"
"NWC21-ME-HP306","NEMI","SEN",2021,560565.544666,4915579.55217,5.38461538461539,0,98.4,6.66,87.3841083230982,"Good","New Mills- North"
"NWCA11-R302","WMTN","SEN",2011,550431.548401,4903780.79241,4.98,0,96.4,18.08,82.6337698,"Good","Western Mtn. Swamp"
"NWCA16-R302","WMTN","SEN",2016,550431.548401,4903780.79241,4.61904761904762,0.02,97.6,74.96,70.0490349413892,"Good","Western Mtn. Swamp"
"NWC21-ME-HP302","WMTN","SEN",2021,550431.548401,4903780.79241,4.69444444444444,0.02,98.4,67.3,72.112819956558,"Good","Western Mtn. Swamp"
"RAM-01","R-01","RAM",2012,552812.491731,4899852.80191,4.34848484848485,0,20,0,62.4089263714881,"Fair","Bass Harbor Marsh #1"
"RAM-01","R-01","RAM",2017,552812.491731,4899852.80191,4.3955,0,20,0,62.6829789229643,"Fair","Bass Harbor Marsh #1"
"RAM-01","R-01","RAM",2022,552812.491731,4899852.80191,4.42105263157895,0,20,19.1,59.3646721748212,"Fair","Bass Harbor Marsh #1"
"RAM-02","R-02","RAM",2012,560332.196155,4914805.63655,4.19270833333333,0.1,98,56.2,71.0896827063164,"Good","Southwest of New Mills Meadow"
"RAM-02","R-02","RAM",2017,560332.196155,4914805.63655,4.03,0.1,98,18.2,77.1817368095457,"Good","Southwest of New Mills Meadow"
"RAM-02","R-02","RAM",2022,560332.196155,4914805.63655,4.34166666666667,1,95,39.1,73.7662058133516,"Good","Southwest of New Mills Meadow"
"RAM-03","R-03","RAM",2012,553060.802718,4899645.99502,5.14115384615385,0,95,12,84.1039954927894,"Good","Bass Harbor Marsh #2"
"RAM-03","R-03","RAM",2017,553060.802718,4899645.99502,5,0,98,25,81.6416739773885,"Good","Bass Harbor Marsh #2"
"RAM-03","R-03","RAM",2022,553060.802718,4899645.99502,5.02083333333333,0,98,31,80.6514564586691,"Good","Bass Harbor Marsh #2"
"RAM-04","R-04","RAM",2012,563269.166259,4913128.61634,2.83705882352941,1,1,81.2,34.1358573413894,"Poor","Great Meadow (MDI) #1"
"RAM-04","R-04","RAM",2017,563269.166259,4913128.61634,3.10733333333333,1,1,96.1,31.9134594431763,"Poor","Great Meadow (MDI) #1"
"RAM-04","R-04","RAM",2022,563269.166259,4913128.61634,3.02375,0.1,1,97.2,31.8133687521001,"Poor","Great Meadow (MDI) #1"
"RAM-05","R-05","RAM",2012,554170.417039,4899429.1007,5.30863636363636,0,95,30,81.7452887849221,"Good","Big Heath #1"
"RAM-05","R-05","RAM",2017,554170.417039,4899429.1007,5.24388888888889,0,95,30,81.3678740561732,"Good","Big Heath #1"
"RAM-05","R-05","RAM",2022,554170.417039,4899429.1007,5.36538461538462,0,99,15,85.7473185628636,"Good","Big Heath #1"
"RAM-06","R-06","RAM",2012,551129.094346,4903869.19435,4.14363636363636,0,85,71.4,64.7205331097445,"Fair","Off Western Mtn Road- buffer outside of park"
"RAM-06","R-06","RAM",2017,551129.094346,4903869.19435,4.20050847457627,0,85,89.1,61.7726582188858,"Fair","Off Western Mtn Road- buffer outside of park"
"RAM-06","R-06","RAM",2022,551129.094346,4903869.19435,4.24242424242424,0.1,90,88.2,63.399834991328,"Fair","Off Western Mtn Road- buffer outside of park"
"RAM-07","R-07","RAM",2012,554225.92235,4898883.54017,4.85363636363636,0,95,10.1,82.7800728073985,"Good","Big Heath #2"
"RAM-07","R-07","RAM",2017,554225.92235,4898883.54017,4.67102564102564,0.1,99,28.1,79.2071092060885,"Good","Big Heath #2"
"RAM-07","R-07","RAM",2022,554225.92235,4898883.54017,4.87615384615385,0,96,25.2,80.3700129693821,"Good","Big Heath #2"
"RAM-08","R-08","RAM",2012,553930.395025,4898479.46372,4.80804347826087,0,85,20,78.1165622848697,"Good","Big Heath #3"
"RAM-08","R-08","RAM",2017,553930.395025,4898479.46372,4.90909090909091,0,85,25,77.7791907721586,"Good","Big Heath #3"
"RAM-08","R-08","RAM",2022,553930.395025,4898479.46372,4.97108695652174,0,85,25,78.1405673589038,"Good","Big Heath #3"
"RAM-09","R-09","RAM",2012,554076.131125,4918278.03291,4.80318181818182,0,95,40,76.9462217051004,"Good","Northeast Creek #1"
"RAM-09","R-09","RAM",2017,554076.131125,4918278.03291,4.86125,0,92,45,75.5892680079493,"Good","Northeast Creek #1"
"RAM-09","R-09","RAM",2022,554076.131125,4918278.03291,5.03045454545455,0,85,27,78.1160707370427,"Good","Northeast Creek #1"
"RAM-10","R-10","RAM",2012,555277.063614,4913417.88128,4.19514285714286,0,92,87.1,63.9063954497463,"Fair","West of MDI HS"
"RAM-10","R-10","RAM",2017,555277.063614,4913417.88128,4.38775510204082,0,92,37.2,74.2744060618801,"Good","West of MDI HS"
"RAM-10","R-10","RAM",2022,555277.063614,4913417.88128,4.45,0,90,37.4,74.0874746763592,"Good","West of MDI HS"
"RAM-11","R-11","RAM",2013,574383.580485,4912058.53364,4.36206896551724,0,85,41.1,71.607643080341,"Good","Schoodic- off powerline cut"
"RAM-11","R-11","RAM",2018,574383.580485,4912058.53364,4.47469696969697,0,85,37.3,72.9682031957823,"Good","Schoodic- off powerline cut"
"RAM-12","R-12","RAM",2013,554430.016725,4918013.37375,5.1468,0,80,40,75.1039060280345,"Good","Northeast Creek #2"
"RAM-12","R-12","RAM",2018,554430.016725,4918013.37375,5,0,80,50,72.3954457018388,"Good","Northeast Creek #2"
"RAM-13","R-13","RAM",2013,562796.77,4913159.71,3.05903225806452,1,0.1,138.1,23.8891822221017,"Poor","Great Meadow (MDI) #3"
"RAM-13","R-13","RAM",2018,562796.77,4913159.71,3.00595238095238,0.1,0.1,115.3,28.1781539798116,"Poor","Great Meadow (MDI) #3"
"RAM-14","R-14","RAM",2013,554463.780502,4917872.67327,5.02576923076923,0,75,57,69.9669653736736,"Good","Northeast Creek #3"
"RAM-14","R-14","RAM",2018,554463.780502,4917872.67327,4.83962962962963,0,75,55,69.2525046109172,"Good","Northeast Creek #3"
"RAM-15","R-15","RAM",2013,548495.68132,4904367.48391,4.06458333333333,0,65,147.5,47.0443696001467,"Poor","Southeast of Long Pond Boat Ramp"
"RAM-15","R-15","RAM",2018,548495.68132,4904367.48391,3.83108108108108,0,65,181.4,45.6832788465728,"Poor","Southeast of Long Pond Boat Ramp"
"RAM-16","R-16","RAM",2013,552018.34135,4903001.60082,3.67413793103448,0.1,30,76.5,46.873907236713,"Poor","Marshall Brook- one of Little's sites"
"RAM-16","R-16","RAM",2018,552018.34135,4903001.60082,3.66923076923077,0.1,30,76.5,46.8453032618353,"Poor","Marshall Brook- one of Little's sites"
"RAM-17","R-17","RAM",2013,559342.264817,4914816.27987,4.455,0,45,0.4,69.4360039084802,"Good","Southern Breakneck Pond- didn't install center stake"
"RAM-17","R-17","RAM",2018,559342.264817,4914816.27987,4.37766666666667,0,45,27.2,64.0198310219181,"Fair","Southern Breakneck Pond- didn't install center stake"
"RAM-18","R-18","RAM",2013,556102.817835,4914279.79113,5.81027777777778,0,99,3,90.5639236072556,"Good","Sunken Heath"
"RAM-18","R-18","RAM",2018,556102.817835,4914279.79113,5.52785714285714,0,99,2,89.1029622454241,"Good","Sunken Heath"
"RAM-19","R-19","RAM",2013,563192.502697,4912852.23499,3.97652173913043,0,0,61.3,43.8278123696858,"Poor","Great Meadow (MDI) #2"
"RAM-19","R-19","RAM",2018,563192.502697,4912852.23499,4.1725,0.1,0,68.2,43.6261128629724,"Poor","Great Meadow (MDI) #2"
"RAM-20","R-20","RAM",2013,551902.915806,4900927.33181,4.45425,0.1,97,55.2,72.5431401980654,"Good","Bass Harbor Marsh #3"
"RAM-20","R-20","RAM",2018,551902.915806,4900927.33181,4.465,0.1,97,64,70.9753740677406,"Good","Bass Harbor Marsh #3"
"RAM-21","R-21","RAM",2014,551612.791066,4902352.31045,3.80592105263158,0.1,20,99.5,40.8172114610058,"Poor","Lurvey Brook (off Hio Road)"
"RAM-21","R-21","RAM",2019,551612.791066,4902352.31045,3.73289156626506,0.1,15,124,34.5705020871026,"Poor","Lurvey Brook (off Hio Road)"
"RAM-22","R-22","RAM",2014,549091.483405,4909549.648231,4.28155555555556,0.1,60,28.2,67.0539379489718,"Good","Near Pretty Marsh- hike boundary in"
"RAM-22","R-22","RAM",2019,549091.483405,4909549.648231,4.21675,0,80,29.1,71.7021277912472,"Good","Near Pretty Marsh- hike boundary in"
"RAM-23","R-23","RAM",2014,560496.627367,4915639.180913,4.774,0.1,95,47.2,75.3764754129706,"Good","New Mills Meadow- NW"
"RAM-23","R-23","RAM",2019,560496.627367,4915639.180913,5.03093023255814,0,98,69,73.6698263027413,"Good","New Mills Meadow- NW"
"RAM-24","R-24","RAM",2014,555085.451766,4898517.94378,4.97044444444444,0,95,5.1,84.3873298122008,"Good","Near Wonderland/ Big Heath #1"
"RAM-24","R-24","RAM",2019,555085.451766,4898517.94378,4.87081632653061,0,85,1,82.0027094872666,"Good","Near Wonderland/ Big Heath #1"
"RAM-25","R-25","RAM",2014,551970.803436,4903426.59568,3.51293103448276,0.1,20,145.4,32.2272906312204,"Poor","Marshall Brook #1"
"RAM-25","R-25","RAM",2019,551970.803436,4903426.59568,3.79807692307692,0,20,144.1,33.9550715259347,"Poor","Marshall Brook #1"
"RAM-26","R-26","RAM",2014,556722.829522,4908266.18406,4.38225806451613,0,50,22.1,66.2732599883985,"Good","North of Upper Hadlock"
"RAM-26","R-26","RAM",2019,556722.829522,4908266.18406,4.32642857142857,0,50,73,56.5172836970958,"Fair","North of Upper Hadlock"
"RAM-27","R-27","RAM",2014,565179.671198,4910306.075832,3.93790697674419,0,10,95.1,39.9039162711642,"Poor","Off Schooner Head Road/Precipice"
"RAM-27","R-27","RAM",2019,565179.671198,4910306.075832,3.84210526315789,0.1,2,105.1,35.3762548919918,"Poor","Off Schooner Head Road/Precipice"
"RAM-28","R-28","RAM",2014,556325.0651,4914328.4757,5.17029411764706,0,95,55,76.3069900156766,"Good","Sunken Heath #2"
"RAM-28","R-28","RAM",2019,556325.0651,4914328.4757,5.12264705882353,0.1,95,61,74.8519404645122,"Good","Sunken Heath #2"
"RAM-29","R-29","RAM",2014,549431.237215,4910092.080667,4.21052631578947,0,95,77.1,66.6178803236191,"Good","Near Pretty Marsh"
"RAM-29","R-29","RAM",2019,549431.237215,4910092.080667,4.16216216216216,0.1,95,96,62.7685913428178,"Fair","Near Pretty Marsh"
"RAM-30","R-30","RAM",2014,560785.027612,4914527.533873,3.87985294117647,0.1,75,194.3,48.4654299833321,"Poor","Along Duck Brook Road"
"RAM-30","R-30","RAM",2019,560785.027612,4914527.533873,3.921875,0.1,60,185.3,44.8651025939067,"Poor","Along Duck Brook Road"
"RAM-31","R-31","RAM",2015,558067.251263,4912529.6198,4.0690243902439,0,10,10.2,56.398129361716,"Fair","Gilmore Meadow"
"RAM-31","R-31","RAM",2020,558067.251263,4912529.6198,3.82972972972973,0,12,3.3,56.794381751453,"Fair","Gilmore Meadow"
"RAM-32","R-32","RAM",2015,529214.062449,4878582.46336,4.61206896551724,0.1,95,21,79.2868044666646,"Good","IAH wetland off Black Dina trail"
"RAM-32","R-32","RAM",2020,529214.062449,4878582.46336,4.82762711864407,0,96,5,83.8297231380099,"Good","IAH wetland off Black Dina trail"
"RAM-33","R-33","RAM",2015,560609.04127,4915069.98573,4.78483870967742,0,60,0.2,75.2065113350782,"Good","New Mills Meadow"
"RAM-33","R-33","RAM",2020,560609.04127,4915069.98573,4.6978125,0,90,2.2,82.0536928887077,"Good","New Mills Meadow"
"RAM-34","R-34","RAM",2015,565063.642816,4910390.3034,3.57352941176471,0.1,5,196.1,28.7352450893804,"Poor","Off Schooner Head Road #3"
"RAM-34","R-34","RAM",2020,565063.642816,4910390.3034,3.38970588235294,0.1,3,186.2,27.1510295713918,"Poor","Off Schooner Head Road #3"
"RAM-35","R-35","RAM",2015,556155.216708,4914559.64504,5.24029411764706,0,95,20,83.1996793156675,"Good","Sunken Heath #3"
"RAM-35","R-35","RAM",2020,556155.216708,4914559.64504,5.29638888888889,0,95,21,83.3413812811695,"Good","Sunken Heath #3"
"RAM-36","R-36","RAM",2015,551406.763557,4902512.86792,3.79411764705882,0.1,20,96,41.3968748466731,"Poor","Down Lurvey Brook"
"RAM-36","R-36","RAM",2020,551406.763557,4902512.86792,3.88194444444445,0,50,110,47.0711647424318,"Poor","Down Lurvey Brook"
"RAM-37","R-37","RAM",2015,556955.662132,4908007.78732,3.80120481927711,0,50,115,45.6741517117016,"Poor","Near Upper Hadlock Pond"
"RAM-37","R-37","RAM",2020,556955.662132,4908007.78732,3.653125,0.1,50,115.1,44.726804937779,"Poor","Near Upper Hadlock Pond"
"RAM-38","R-38","RAM",2015,553958.04615,4907652.01493,4.25409836065574,0,70,17,71.5981543733295,"Good","Cedar swamp along Man-O-War Brook"
"RAM-38","R-38","RAM",2020,553958.04615,4907652.01493,4.24246753246753,0,75,26,71.1446329804392,"Good","Cedar swamp along Man-O-War Brook"
"RAM-39","R-39","RAM",2015,558574.44979,4912924.56264,4.54113924050633,0,75,21,73.8119778389885,"Good","Between Carriage Road near HQ#1"
"RAM-39","R-39","RAM",2020,558574.44979,4912924.56264,4.44838709677419,0,65,26.1,69.7628992145972,"Good","Between Carriage Road near HQ#1"
"RAM-40","R-40","RAM",2015,562703.926157,4906020.63039,3.89333333333333,0,75,92.3,56.8257265796112,"Fair","Little Hunter- near NWCA-R305"
"RAM-40","R-40","RAM",2020,562703.926157,4906020.63039,3.81954545454546,0.1,80,131.1,50.4230094375117,"Poor","Little Hunter- near NWCA-R305"
