"site.name","local.id","site.type","year","xcoord","ycoord","species","plant.code","avg.cov","coc","nativity","stress.tol","notes"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"CAREX LIMOSA","CALI7",0.02,7,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"CHAMAEDAPHNE CALYCULATA","CHCA2",10.2,5,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"CHAMAEDAPHNE CALYCULATA","CHCA2",10.2,5,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"CHAMAEDAPHNE CALYCULATA","CHCA2",3.02,5,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"DROSERA INTERMEDIA","DRIN3",0.06,5,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"DROSERA INTERMEDIA","DRIN3",0.06,5,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"DROSERA INTERMEDIA","DRIN3",0.04,5,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"DROSERA ROTUNDIFOLIA","DRRO",0.86,4,"native",1,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"DROSERA ROTUNDIFOLIA","DRRO",0.1,4,"native",1,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"DROSERA ROTUNDIFOLIA","DRRO",0.1,4,"native",1,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"EMPETRUM NIGRUM","EMNI",4.82,7,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"EMPETRUM NIGRUM","EMNI",0.1,7,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"EMPETRUM NIGRUM","EMNI",3.4,7,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"ERIOPHORUM ANGUSTIFOLIUM","ERAN6",0.1,6,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"ERIOPHORUM ANGUSTIFOLIUM","ERAN6",0.28,6,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"ERIOPHORUM ANGUSTIFOLIUM SPP. ANGUSTIFOLIUM","ERANA3",0.08,6,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"ERIOPHORUM VAGINATUM","ERVA4",0.44,6,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"ERIOPHORUM VAGINATUM","ERVA4",0.04,6,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"ERIOPHORUM VAGINATUM","ERVA4",0.24,6,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"ERIOPHORUM VIRGINICUM","ERVI8",0.04,6,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"ERIOPHORUM VIRGINICUM","ERVI8",0.06,6,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"GAYLUSSACIA BACCATA","GABA",0.4,5,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"GAYLUSSACIA BACCATA","GABA",6,5,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"GAYLUSSACIA BACCATA","GABA",1.2,5,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"GAYLUSSACIA BIGELOVIANA","GABI7",40,8,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"GAYLUSSACIA DUMOSA","GADU",31.2,8,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"GAYLUSSACIA DUMOSA","GADU",34,8,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"ILEX MUCRONATA","ILMU",0.04,6,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"ILEX MUCRONATA","ILMU",0.08,6,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"ILEX MUCRONATA","ILMU",0.08,6,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"JUNIPERUS COMMUNIS","JUCO6",0.04,3,"native",1,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"JUNIPERUS COMMUNIS","JUCO6",0.06,3,"native",1,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"JUNIPERUS COMMUNIS","JUCO6",0.44,3,"native",1,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"KALMIA ANGUSTIFOLIA","KAAN",0.1,4,"native",1,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"KALMIA ANGUSTIFOLIA","KAAN",1.46,4,"native",1,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"KALMIA ANGUSTIFOLIA SPP. ANGUSTIFOLIA","KAAN",1.06,4,"native",1,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"KALMIA POLIFOLIA","KAPO",0.1,8,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"KALMIA POLIFOLIA","KAPO",0.1,8,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"KALMIA POLIFOLIA","KAPO",0.28,8,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"LARIX LARICINA","LALA",0.22,4,"native",1,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"LARIX LARICINA","LALA",0.42,4,"native",1,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"LARIX LARICINA","LALA",0.24,4,"native",1,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"LEDUM GROENLANDICUM","LEGR",0.06,8,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"LEDUM GROENLANDICUM","LEGR",0.26,8,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"LYSIMACHIA BOREALIS","TRIBO2",0.04,4,"native",1,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"MYRICA GALE","MYGA",0.06,5,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"MYRICA GALE","MYGA",0.22,5,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"MYRICA GALE","MYGA",0.06,5,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"NUPHAR LUTEA SSP. VARIEGATA","NULUV",0.6,4,"native",1,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"NUPHAR LUTEA SSP. VARIEGATA","NULUV",0.6,4,"native",1,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"NUPHAR VARIEGATA","NUVA2",0.6,4,"native",1,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"OCLEMENA NEMORALIS","OCNE2",0.04,8,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"PICEA MARIANA","PIMA",2.4,6,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"PICEA MARIANA","PIMA",4.2,6,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"PICEA MARIANA","PIMA",3.62,6,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"RHODODENDRON CANADENSE","RHCA6",0.02,5,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"RHODODENDRON CANADENSE","RHCA6",0.04,5,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"RHODODENDRON CANADENSE","RHCA6",0.02,5,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"RHODODENDRON GROENLANDICUM","RHGR3",0.08,8,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"RHYNCHOSPORA ALBA","RHAL3",0.84,6,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"RHYNCHOSPORA ALBA","RHAL3",1.26,6,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"RHYNCHOSPORA ALBA","RHAL3",3.22,6,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"RHYNCHOSPORA FUSCA","RHFU",0.06,6,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"SARRACENIA PURPUREA","SAPU4",0.28,7,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"SARRACENIA PURPUREA","SAPU4",0.1,7,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"SARRACENIA PURPUREA SPP. PURPUREA","SAPU4",0.1,7,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"SOLIDAGO ULIGINOSA","SOUL",0.1,8,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"SOLIDAGO ULIGINOSA","SOUL",0.28,8,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"SOLIDAGO ULIGINOSA VAR. PERACUTA","SOULP",0.1,8,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"SYMPLOCARPUS FOETIDUS","SYFO",0.02,6,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"SYMPLOCARPUS FOETIDUS","SYFO",0.02,6,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"SYMPLOCARPUS FOETIDUS","SYFO",0.04,6,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"TRICHOPHORUM CESPITOSUM","TRCE3",5.6,7,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"TRICHOPHORUM CESPITOSUM","TRCE3",20,7,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"TRICHOPHORUM CESPITOSUM SPP. CESPITOSUM","TRCE3",8,7,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"TRIENTALIS BOREALIS","TRBO2",0.04,4,"native",1,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"TRIENTALIS BOREALIS","TRBO2",0.04,4,"native",1,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"UTRICULARIA CORNUTA","UTCO",0.1,6,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"UTRICULARIA CORNUTA","UTCO",0.04,6,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"UTRICULARIA CORNUTA","UTCO",0.02,6,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"VACCINIUM ANGUSTIFOLIUM","VAAN",0.02,3,"native",1,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"VACCINIUM ANGUSTIFOLIUM","VAAN",0.02,3,"native",1,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"VACCINIUM OXYCOCCOS","VAOX",0.28,7,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"VACCINIUM OXYCOCCOS","VAOX",0.28,7,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"VACCINIUM OXYCOCCOS","VAOX",1.82,7,"native",0,"Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,"VIBURNUM NUDUM","VINU",0.04,5,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"VIBURNUM NUDUM VAR. CASSINOIDES","VINUC",0.04,5,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"VIBURNUM NUDUM VAR. CASSINOIDES","VINUC",0.04,5,"native",0,"Big Heath"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,"XYRIS MONTANA","XYMO",0.04,6,"native",0,"Big Heath"
"NWC21-ME-HP303","BIGH","SEN",2021,554269.490012,4898325.52487,"XYRIS MONTANA","XYMO",0.04,6,"native",0,"Big Heath"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"ABIES BALSAMEA","ABBA",0.02,3,"native",1,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"ACER RUBRUM","ACRU",0.1,3,"native",1,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"ACER RUBRUM","ACRU",0.08,3,"native",1,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"ACER RUBRUM","ACRU",0.1,3,"native",1,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"ARETHUSA BULBOSA","ARBU",0.02,9,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"ARONIA MELANOCARPA","ARME6",0.1,5,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"ARONIA MELANOCARPA","ARME6",0.02,5,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"ARONIA MELANOCARPA","ARME6",0.02,5,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"BETULA POPULIFOLIA","BEPO",0.02,2,"native",1,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"CAREX EXILIS","CAEX7",5.04,8,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"CAREX EXILIS","CAEX7",3.4,8,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"CAREX EXILIS","CAEX7",2.62,8,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"CAREX LASIOCARPA","CALA11",0.04,6,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"CAREX LASIOCARPA","CALA11",2.2,6,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"CAREX LASIOCARPA SPP. AMERICANA","CALAA",3.62,6,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"CAREX STRICTA","CAST8",20.42,4,"native",1,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"CAREX STRICTA","CAST8",13.22,4,"native",1,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"CAREX STRICTA","CAST8",4.02,4,"native",1,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"CAREX UTRICULATA","CAUT",16,5,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"CAREX UTRICULATA","CAUT",13.04,5,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"CAREX UTRICULATA","CAUT",11.6,5,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"CHAMAEDAPHNE CALYCULATA","CHCA2",23.4,5,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"CHAMAEDAPHNE CALYCULATA","CHCA2",13.06,5,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"CHAMAEDAPHNE CALYCULATA","CHCA2",10.62,5,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"CLADIUM MARISCOIDES","CLMA",0.02,6,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"DROSERA INTERMEDIA","DRIN3",0.04,5,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"DROSERA INTERMEDIA","DRIN3",0.64,5,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"DROSERA INTERMEDIA","DRIN3",7.02,5,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"DROSERA ROTUNDIFOLIA","DRRO",1.4,4,"native",1,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"DROSERA ROTUNDIFOLIA","DRRO",0.1,4,"native",1,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"DROSERA ROTUNDIFOLIA","DRRO",0.26,4,"native",1,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"DULICHIUM ARUNDINACEUM","DUAR3",0.06,5,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"DULICHIUM ARUNDINACEUM","DUAR3",0.44,5,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"DULICHIUM ARUNDINACEUM","DUAR3",2.62,5,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"ELEOCHARIS PARVULA","ELPA5",0.04,7,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"ERIOCAULON AQUATICUM","ERAQ2",0.02,6,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"ERIOPHORUM VIRGINICUM","ERVI8",1.86,6,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"ERIOPHORUM VIRGINICUM","ERVI8",0.24,6,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"ERIOPHORUM VIRGINICUM","ERVI8",8.24,6,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"GAYLUSSACIA BACCATA","GABA",1.46,5,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"GAYLUSSACIA BACCATA","GABA",0.02,5,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"GAYLUSSACIA BACCATA","GABA",0.2,5,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"GAYLUSSACIA BIGELOVIANA","GABI7",2.42,8,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"GAYLUSSACIA DUMOSA","GADU",0.4,8,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"GLYCERIA OBTUSA","GLOB",0.2,6,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"GLYCERIA OBTUSA","GLOB",0.2,6,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"HYPERICUM GENTIANOIDES","HYGE",0.02,4,"native",1,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"ILEX MUCRONATA","ILMU",0.06,6,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"ILEX VERTICILLATA","ILVE",0.02,4,"native",1,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"JUNCUS ACUMINATUS","JUAC",0.02,5,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"JUNCUS ACUMINATUS","JUAC",0.02,5,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"JUNCUS CANADENSIS","JUCA3",0.02,4,"native",1,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"JUNCUS CANADENSIS","JUCA3",0.42,4,"native",1,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"JUNCUS PELOCARPUS","JUPE",0.26,5,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"JUNCUS PELOCARPUS","JUPE",0.44,5,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"KALMIA ANGUSTIFOLIA","KAAN",1.66,4,"native",1,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"KALMIA ANGUSTIFOLIA","KAAN",0.06,4,"native",1,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"KALMIA ANGUSTIFOLIA SPP. ANGUSTIFOLIA","KAAN",0.04,4,"native",1,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"KALMIA POLIFOLIA","KAPO",0.04,8,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"KALMIA POLIFOLIA","KAPO",0.02,8,"native",0,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"KALMIA POLIFOLIA","KAPO",0.02,8,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"LARIX LARICINA","LALA",0.46,4,"native",1,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"LARIX LARICINA","LALA",0.1,4,"native",1,"Duck Pond"
"NWC21-ME-HP301","DUCK","SEN",2021,549457.841841,4907550.89876,"LARIX LARICINA","LALA",0.2,4,"native",1,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"LEDUM GROENLANDICUM","LEGR",6,8,"native",0,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"LEDUM GROENLANDICUM","LEGR",0.6,8,"native",0,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"LYSIMACHIA TERRESTRIS","LYTE2",0.04,3,"native",1,"Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,"LYSIMACHIA TERRESTRIS","LYTE2",0.02,3,"native",1,"Duck Pond"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,"MAIANTHEMUM TRIFOLIUM","MATR4",0.02,7,"native",0,"Duck Pond"
