"Code","Location_ID","Visit_ID","Panel","Date","Year","Visit_Type","limited_RAM","Strata_ID","Vert_Complexity_ID","Cover_Class","Strata"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,5,5,">50%","Short Woody Plants (shrubs and trees <5m)"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,7,1,"<10%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,1,1,"<10%","Submerged Plants (any depth)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,4,4,"26-50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,5,5,">50%","Short Woody Plants (shrubs and trees <5m)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,7,1,"<10%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,4,4,"26-50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,5,4,"26-50%","Short Woody Plants (shrubs and trees <5m)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,7,4,"26-50%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,3,6,"0%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,4,5,">50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,5,1,"<10%","Short Woody Plants (shrubs and trees <5m)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,7,6,"0%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,6,6,"0%","Vines (any present)"
