Code,Location_ID,Visit_ID,Panel,Date,Year,Visit_Type,limited_RAM,Weather,Prior_Weather,Ditch_Present,Depth_1,Depth_2,Depth_3,Flag_Water_Source,Water_Source_1,Water_Source_2,Water_Source_3,Mosaic_Complexity,SphagnumMoss,Bryophyte_Cover,Invasive_Cover_Class,Invasive_Cover,Buffer_Width_N,Buffer_Width_NE,Buffer_Width_E,Buffer_Width_SE,Buffer_Width_S,Buffer_Width_SW,Buffer_Width_W,Buffer_Width_NW,Buffer_Width_Avg,Buffer_Perim_Percent,AlgalMatOrCrust,AquaticInvertebrate,BioticCrust,DrainagePatterns,DriftDeposits,Flag_Inundation,IronDeposits,MarlDeposits,MossTrimLines,SaltCrust,SedimentDeposits,SparselyVegetatedConcaveSurfaces,SurfaceSoilCracks,WaterMarks,WaterStainedLeaves,TrueAquaticPlants,CrayfishBurrows,DrySeasonWaterTable,FiddlerCrabBurrows,Flag_Saturation,HydrogenSulfideOdor,SaltDeposits,SurficialThinMuck,OxidizedRhizospheres,Flag_Surface,GeomorphicPosition,HighWaterTable,MicrotopographicRelief,ShallowAquitard,SoilSaturation,StuntedOrStressedPlants,SurfaceWater,Notes_AA_Point,Notes_RAM01,Notes_RAM02,Notes_Topographic_Complexity,Notes_Mosaic_Complexity,Notes_RAM05,Notes_RAM06,Notes_RAM07,Notes_RAM08,Notes_RAM09,Notes_RAM10,Notes_RAM11,Notes_Species,Notes_H1,Protocol_Version,Checked,Data_Verified_By,Certification_Level
GRME01,218,NA,NA,8/14/2020,2020,VS,1,Sunny mid 70s,Sunny upper 80s,No,NA,NA,NA,NA,"Stream Inflow (creeks, rivers)","Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",2,NA,8.75,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A: Ditch present but not measured,NA,NA,NA,NA
GRME02,223,NA,NA,8/12/2020,2020,VS,1,NA,"Sunny, upper 80s",No,NA,NA,NA,NA,NA,"Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",3,NA,1,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME03,215,NA,NA,8/14/2020,2020,VS,1,Sunny low 80s,Sunny upper 80s,No,NA,NA,NA,A,"Precipitation (rain, snow)","Stream Inflow (creeks, rivers)",NA,2,NA,3.25,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A: Very small channels present,NA,NA,NA,NA
GRME04,222,NA,NA,8/14/2020,2020,VS,1,Sunny low 80s,Sunny upper 80s,No,NA,NA,NA,NA,"Precipitation (rain, snow)",NA,NA,2,NA,5,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A: No standing water at this time of year,NA,NA,NA,NA
GRME05,219,NA,NA,8/12/2020,2020,VS,1,"Partly cloudy, upper 80s",Sunny upper 80s,Yes,40,80,35,NA,NA,"Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",2,NA,0,Absent (none),0,100,100,100,100,100,100,100,100,100,>75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME06,221,NA,NA,8/14/2020,2020,VS,1,"Mostly sunny 70s, calm",Sunny upper 80s,No,NA,NA,NA,NA,"Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",NA,2,NA,11.75,5-25%,5,100,100,100,100,100,100,100,100,100,>75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A: Extensive application of herbicide (for buckthorn), cutting",NA,NA,NA,NA
GRME07,217,NA,NA,8/14/2020,2020,VS,1,"Mostly sunny 70s, calm",Sunny upper 80s,No,NA,NA,NA,NA,"Precipitation (rain, snow)",NA,NA,2,NA,32.5,Trace (nearly absent): <5% cover,0.1,100,100,100,50,85,100,100,100,91.875,>75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME08,214,NA,NA,8/12/2020,2020,VS,1,"Sunny 80s, light breeze",Sunny high temps (upper 80s),Yes,16,42,41,NA,NA,NA,Groundwater,3,NA,0.25,Trace (nearly absent): <5% cover,0.1,100,50,20,59,100,100,100,100,78.625,>75,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A: Old road bed just adjacent to AA,NA,NA,NA,NA
GRME09,216,NA,NA,8/14/2020,2020,VS,1,Sunny upper 70s,Sunny upper 80s,No,NA,NA,NA,NA,NA,NA,NA,2,NA,5.5,5-25%,5,100,100,100,100,100,100,100,100,100,>75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME10,220,NA,NA,8/12/2020,2020,VS,1,"Sunny upper 80s, light breeze",Sunny upper 80s,No,NA,NA,NA,NA,"Stream Outflow (creeks, rivers)","Precipitation (rain, snow)",NA,1,NA,0,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME01,218,NA,NA,7/27/2023,2023,VS,1,"Cloudy, highs in the mid 70s","No rain. Highs in the upper 70s, low in the lower 60s",Yes,50,70,45,NA,"Stream Inflow (creeks, rivers)","Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",2,NA,6,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A: Deer paths and tracks visible in wetland,NA,NA,NA,NA
GRME02,223,NA,NA,7/25/2023,2023,VS,1,"Sunny, high around 80","No rain. Highs in the upper 70s, low in the lower 60s",Yes,40,42,40,NA,"Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",NA,3,NA,0,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME03,215,NA,NA,7/27/2023,2023,VS,1,"Cloudy, highs in the mid 70s","No rain. Highs in the upper 70s, low in the lower 60s",No,NA,NA,NA,A,"Precipitation (rain, snow)","Stream Inflow (creeks, rivers)",NA,2,NA,0,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A: Very small channels present,NA,NA,NA,NA
GRME04,222,NA,NA,7/27/2023,2023,VS,1,"Cloudy, highs in the mid 70s","No rain. Highs in the upper 70s, low in the lower 60s",Yes,15,15,10,NA,"Precipitation (rain, snow)",NA,NA,2,NA,5.75,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME05,219,NA,NA,7/25/2023,2023,VS,1,Sunny highs around 80,"No rain. Highs in the upper 70s, low in the lower 60s",Yes,50,90,50,NA,"Stream Outflow (creeks, rivers)","Precipitation (rain, snow)",NA,2,NA,0,Absent (none),0,100,100,100,100,100,100,100,100,100,>75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME06,221,NA,NA,7/27/2023,2023,VS,1,"Cloudy, highs in the mid 70s","No rain. Highs in the upper 70s, low in the lower 60s",Yes,38,35,39,NA,"Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",NA,2,NA,3.75,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A: Deer trails,NA,NA,NA,NA
GRME07,217,NA,NA,7/27/2023,2023,VS,1,"Cloudy, highs in the mid 70s","No rain. Highs in the upper 70s, low in the lower 60s",Yes,44,53,40,NA,"Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",NA,2,NA,20.75,Trace (nearly absent): <5% cover,0.1,100,100,100,50,85,100,100,100,91.875,>75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A: Old road/trailbed present. B: A fair number of Deer Tracks present,NA,NA,NA,NA
GRME08,214,NA,NA,7/25/2023,2023,VS,1,"Sunny, high around 80","No rain. Highs in the upper 70s, low in the lower 60s",Yes,32,52,42,NA,"Stream Outflow (creeks, rivers)","Precipitation (rain, snow)",NA,3,NA,0,Absent (none),0,100,50,20,59,100,100,100,100,78.625,>75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A: Old road bed in AA,NA,NA,NA,NA
GRME09,216,NA,NA,7/27/2023,2023,VS,1,"Cloudy, highs in the mid 70s","No rain. Highs in the upper 70s, low in the lower 60s",No,NA,NA,NA,NA,"Precipitation (rain, snow)",NA,NA,2,NA,16.5,Trace (nearly absent): <5% cover,0.1,100,100,100,100,100,100,100,100,100,>75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME10,220,NA,NA,7/25/2023,2023,VS,1,Sunny highs around 80,"No rain. Highs in the upper 70s, low in the lower 60s",Yes,45,60,58,NA,"Stream Outflow (creeks, rivers)","Precipitation (rain, snow)",NA,1,NA,0,Absent (none),0,100,100,100,100,100,100,100,100,100,>75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
