Code,Location_ID,Panel,Date_Established,Contact_ID,xCoordinate,yCoordinate,Latitude,Longitude,UTM_Zone,Description,FWS_Class_Code,HGM_Class,HGM_Sub_Class,AA_Layout,AA_Area,Directions,Location_Comments,Access_Comments,Notes_AA2,Access_Difficulty,Access_Requirement,Saturated_Soils,Standing_Water,Shallow_Roots,Water_Marks,Water_Carried_Debris,Bare_Areas,Floating_Mat,Buttressed_Trunks,Water_Stained_Leaves,Oxidized_Rhizospheres,Other,Wetland_Hydro_Comments
GRME06,221,NA,8/14/2020,NA,563006,4912922,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Wild Gardens parking area. Hike down Jesup Path & head off of boardwalk when near point 4. Walk past point 4 & head directly to point 6,NA,Permit required from ANP,NA,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME07,217,NA,8/14/2020,NA,563061,4912553,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Park at Wild Gardens. Walk out the Jesup Path. Once the boardwalk starts, proceed past the first deep channel, and then turn",NA,Permit required from ANP,NA,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME08,214,NA,8/12/2020,NA,563371,4912986,NA,NA,19N,Palustrine Emergent,PEM,Depression,OPEN,STANDARD_CIRCULAR,NA,"Park in the gravel pull off area of approximately 563436, 4912909. Hike in the woods until the coordinates for Plot 8 are directly west of you, then hike out into the wetland to the plot coordinates",NA,"Special permit from ANP required; unable to locate point marker, used coordinates for center point of AA. Return with metal detector.",NA,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME09,216,NA,8/14/2020,NA,562971,4912763,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Wild Gardens parking area. Head down Jesup Path & head off of boardwalk when nearest to the point,NA,NA,NA,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME10,220,NA,8/12/2020,NA,563256,4912949,NA,NA,19N,Palustrine Emergent,PEM,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Follow directions for accessing large willow tree for getting to Plot 5. From that willow tree, head to the eastern side of plot 10, altering course to the center once it is near. Lots of deep channels to avoid.",NA,ANP Research Permit required. Unable to locate point marker. Use coordinates as center of AA. Return with metal detector. Stay south to cross ditch,NA,Deep Water,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME01,218,NA,7/27/2023,NA,563119,4912595,NA,NA,19N,Palustrine Scrub/Shrub,PSS,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Park at Sier de Monts parking area. Walk out Jesup Path. Once the boardwalk starts, proceed past the first deep channel and then turn right and into the meadow, making an arching sweep towards the plot. No major stream crossings by going this way",NA,Deep stream crossings unless you head down Jesup path first. Permit required by NPS.,AA is 80 meters diameter,Deep Water,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME02,223,NA,7/25/2023,NA,563070,4913161,NA,NA,19N,Palustrine Scrub/Shrub,PSS,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at intersection of Park Loop Road and Ledgelawn. Hike on road to NW past the culvert and then bushwack in woods towards point. You can take a fairly direct shot towards point once you are out in the meadow,NA,Permit required from ANP,AA is 80 meters diameter,"Dense vegetation, Deep water",Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME03,215,NA,7/27/2023,NA,562813,4912849,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Wild Gardens parking area. Head down Jesup Path & head off of boardwalk when nearest to the point. Access is simple for this area.,NA,Permit required from ANP,AA is 80 meters diameter,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME04,222,NA,7/27/2023,NA,562907,4912908,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Take Kebo Path out to Point. Point is just to East of boardwalk.,NA,Permit required from ANP,AA is 80 meters diameter,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME05,219,NA,7/25/2023,NA,563200,4912819,NA,NA,19N,Palustrine Emergent,PEM,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Park in gravel pull off area approximately 563436, 4912909. First goal is to get to the very large willow approximately 563318, 4912806. Once under the large willow tree on edge of wetland, generally follow a straight line to plot 5, although you may need to job slightly north once or twice to skirt a deeper pool'",NA,Permit required from ANP,AA is 80 meters diameter,"Dense vegetation, Deep water",Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME06,221,NA,7/27/2023,NA,563006,4912922,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Wild Gardens parking area. Head down Jesup Path & head off of boardwalk when near point 4. Walk past point 4 & head directly to point 6,NA,Permit required from ANP,AA is 80 meters diameter,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME07,217,NA,7/27/2023,NA,563061,4912553,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Park at Wild Gardens parking area. Walk out Jesup Path. Once the boardwalk starts proceed past the first deep channel, and then turn right and into the meadow, following the directions most of the way to Plot 1. Once you get close to Plot 1, head straight to Plot 7 coordinates",NA,Permit required from ANP,AA is 80 meters diameter,"Dense vegetation, Deep water",Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME08,214,NA,7/25/2023,NA,563371,4912986,NA,NA,19N,Palustrine Emergent,PEM,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Park in gravel pull off area approximately 563436, 4912909. Hike in the woods until the coordinates for Point 8 are directly west of you, then hike out into the wetland to the point coordinates",NA,Permit required from ANP,AA is 80 meters diameter,"Dense vegetation, Deep water",Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME09,216,NA,7/27/2023,NA,562971,4912763,NA,NA,19N,Palustrine Forested,PFO,Depression,OPEN,STANDARD_CIRCULAR,0.5,Park at Wild Gardens parking area. Head down Jesup Path and Head off of boardwalk when nearest to the point,NA,Permit required from ANP,AA is 80 meters diameter,NA,Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRME10,220,NA,7/25/2023,NA,563256,4912949,NA,NA,19N,Palustrine Emergent,PEM,Depression,OPEN,STANDARD_CIRCULAR,0.5,"Follow directions for accessing large willow tree for getting to Plot 5. From that willow tree, head to the eastern side of plot 10, altering course to the center once it is near. Lots of deep channels to avoid.",NA,Permit required from ANP; Don't access from Plot 8 as channels are too deep!,AA is 80 meters diameter,"Dense vegetation, Deep water, Other",Special Permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
