site_name,local_id,site_type,wetland,year,xcoord,ycoord,species,PLANTS,avg_cov,coc,nativity,stress_tol,Notes
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Carex stricta,CAST8,15,4.5,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Chamaedaphne calyculata,CHCA2,7,5.5,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Iris versicolor,IRVE2,0.1,3,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Lysimachia terrestris,LYTE2,2,3,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Myrica gale,MYGA,25,5,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Salix petiolaris,SAPE5,10,2,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2017,563269.1663,4913128.616,Spiraea alba,SPAL2,10,2,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Alnus incana,ALIN2,4,2.5,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Betula populifolia,BEPO,5,2,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Calamagrostis canadensis,CACA4,6,2.33,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Carex lacustris,CALA16,45,4,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Carex lasiocarpa,CALA11,8,6,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Carex stricta,CAST8,15,4.5,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Chamaedaphne calyculata,CHCA2,8,5.5,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Iris versicolor,IRVE2,0.1,3,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Myrica gale,MYGA,45,5,native,0,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Salix petiolaris,SAPE5,17,2,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Scirpus cyperinus,SCCY,0.1,3,native,1,Great Meadow (MDI) #1
RAM #04,R-04,RAM,Great Meadow,2022,563269.1663,4913128.616,Spiraea alba,SPAL2,20,2,native,1,Great Meadow (MDI) #1
RAM #13,R-13,RAM,Great Meadow,2013,562796.77,4913159.71,Acer rubrum,ACRU,10,2.5,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2013,562796.77,4913159.71,Alnus incana,ALIN2,0.1,2.5,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2013,562796.77,4913159.71,Betula populifolia,BEPO,1,2,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2013,562796.77,4913159.71,Calamagrostis canadensis,CACA4,80,2.33,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2013,562796.77,4913159.71,Carex lacustris,CALA16,40,4,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2013,562796.77,4913159.71,Carex stricta,CAST8,5,4.5,native,0,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2013,562796.77,4913159.71,Ilex verticillata,ILVE,5,3,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2013,562796.77,4913159.71,Rhamnus frangula,RHFR,0.1,0,non-native,0,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2013,562796.77,4913159.71,Spiraea alba,SPAL2,2,2,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2013,562796.77,4913159.71,Thelypteris palustris,THPA,0.1,4.5,native,0,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Acer rubrum,ACRU,7,2.5,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Alnus incana,ALIN2,0.1,2.5,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Betula populifolia,BEPO,0.1,2,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Calamagrostis canadensis,CACA4,49,2.33,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Carex lacustris,CALA16,49,4,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Carex stricta,CAST8,25,4.5,native,0,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Ilex verticillata,ILVE,5,3,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Lysimachia terrestris,LYTE2,0.1,3,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Rhamnus frangula,RHFR,0.1,0,non-native,0,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Sparganium,SPARG,0.1,4.5,native,0,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Spiraea alba,SPAL2,5,2,native,1,Great Meadow (MDI) #3
RAM #13,R-13,RAM,Great Meadow,2018,562796.77,4913159.71,Thelypteris palustris,THPA,1,4.5,native,0,Great Meadow (MDI) #3
RAM #19,R-19,RAM,Great Meadow,2013,563192.5027,4912852.235,Calamagrostis canadensis,CACA4,30,2.33,native,1,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2013,563192.5027,4912852.235,Carex lacustris,CALA16,30,4,native,1,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2013,563192.5027,4912852.235,Carex lasiocarpa,CALA11,15,6,native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2013,563192.5027,4912852.235,Carex stricta,CAST8,60,4.5,native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2013,563192.5027,4912852.235,Chamaedaphne calyculata,CHCA2,0.1,5.5,native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2013,563192.5027,4912852.235,Glyceria striata,GLST,0.1,3.5,native,1,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2013,563192.5027,4912852.235,Juncus canadensis,JUCA3,1,3.5,native,1,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2013,563192.5027,4912852.235,Myrica gale,MYGA,15,5,native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2013,563192.5027,4912852.235,Salix,SALIX,0.1,3.13,native,1,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2013,563192.5027,4912852.235,Spiraea alba,SPAL2,0.1,2,native,1,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Aronia melanocarpa,ARME6,0.1,4.5,native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Calamagrostis canadensis,CACA4,60,2.33,native,1,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Carex lacustris,CALA16,6,4,native,1,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Carex lasiocarpa,CALA11,20,6,native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Carex stricta,CAST8,10,4.5,native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Carex utriculata,CAUT,15,5,native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Chamaedaphne calyculata,CHCA2,1,5.5,native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Myrica gale,MYGA,12,5,native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Rhamnus frangula,RHFR,0.1,0,non-native,0,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Salix,SALIX,0.1,3.13,native,1,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Scirpus cyperinus,SCCY,0.1,3,native,1,Great Meadow (MDI) #2
RAM #19,R-19,RAM,Great Meadow,2018,563192.5027,4912852.235,Spiraea alba,SPAL2,2,2,native,1,Great Meadow (MDI) #2
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Calamagrostis canadensis,CACA4,7,2.33,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Carex lasiocarpa,CALA11,90,6,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Carex utriculata,CAUT,2,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Carex utriculata,CAUT,5,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Chamaedaphne calyculata,CHCA2,5,5.5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Dulichium arundinaceum,DUAR3,1,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Eriophorum angustifolium,ERAN6,1,6.5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Gaylussacia baccata,GABA,3,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Glyceria canadensis,GLCA,0.1,4,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Juncus acuminatus,JUAC,7,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Juncus acuminatus,JUAC,3,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Lysimachia terrestris,LYTE2,1,3,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Myrica gale,MYGA,20,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Sparganium americanum,SPAM,1,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Spiraea alba,SPAL2,0.1,2,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Spiraea tomentosa,SPTO2,1,2.5,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Triadenum,TRIAD,0.1,6,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2015,558067.2513,4912529.62,Vaccinium corymbosum,VACO,1,4,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Calamagrostis canadensis,CACA4,0.1,2.33,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Carex lasiocarpa,CALA11,70,6,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Carex stricta,CAST8,0.1,4.5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Carex utriculata,CAUT,1,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Chamaedaphne calyculata,CHCA2,12,5.5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Gaylussacia baccata,GABA,5,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Juncus canadensis,JUCA3,0.1,3.5,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Myrica gale,MYGA,40,5,native,0,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Spiraea alba,SPAL2,1,2,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Spiraea tomentosa,SPTO2,0.1,2.5,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Typha latifolia,TYLA,2,2,native,1,Gilmore Meadow
RAM #31,R-31,RAM,Gilmore Meadow,2020,558067.2513,4912529.62,Vaccinium macrocarpon,VAMA,2,5,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,ACER RUBRUM,ACRU,0.04,3,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,ACER RUBRUM,ACRU,0.08,3,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,BRASENIA SCHREBERI,BRSC,0.02,5,native,0,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,BRASENIA SCHREBERI,BRSC,0.02,5,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,BRASENIA SCHREBERI,BRSC,0.4,5,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,CALAMAGROSTIS CANADENSIS,CACA4,0.84,3,native,1,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,CALAMAGROSTIS CANADENSIS,CACA4,0.08,3,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,CALAMAGROSTIS CANADENSIS,CACA4,0.68,3,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,CAREX LASIOCARPA,CALA11,63,6,native,0,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,CAREX LASIOCARPA,CALA11,63,6,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,CAREX LASIOCARPA SPP. AMERICANA,CALAA,48.2,6,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,CAREX STRICTA,CAST8,0.44,4,native,1,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,CAREX STRICTA,CAST8,0.62,4,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,CAREX STRICTA,CAST8,0.02,4,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,CAREX UTRICULATA,CAUT,1.24,5,native,0,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,CAREX UTRICULATA,CAUT,1.46,5,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,CAREX UTRICULATA,CAUT,5.84,5,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,CHAMAEDAPHNE CALYCULATA,CHCA2,5.62,5,native,0,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,CHAMAEDAPHNE CALYCULATA,CHCA2,1.42,5,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,CHAMAEDAPHNE CALYCULATA,CHCA2,3.44,5,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,DROSERA INTERMEDIA,DRIN3,0.02,5,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,DROSERA INTERMEDIA,DRIN3,0.04,5,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,DULICHIUM ARUNDINACEUM,DUAR3,8.06,5,native,0,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,DULICHIUM ARUNDINACEUM,DUAR3,2.2,5,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,DULICHIUM ARUNDINACEUM,DUAR3,4.82,5,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,ERIOPHORUM TENELLUM,ERTE12,0.06,7,native,0,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,ERIOPHORUM VIRGINICUM,ERVI8,0.02,6,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,GALIUM TRIFIDUM,GATR2,0.02,4,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,GALIUM TRIFIDUM,GATR2,0.02,4,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,GLYCERIA CANADENSIS,GLCA,0.06,4,native,1,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,GLYCERIA CANADENSIS,GLCA,0.44,4,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,GLYCERIA CANADENSIS,GLCA,0.04,4,native,1,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,GLYCERIA STRIATA,GLST,0.02,3,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,HYPERICUM BOREALE,HYBO2,0.02,6,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,HYPERICUM CANADENSE,HYCA7,0.02,5,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,ILEX VERTICILLATA,ILVE,0.02,4,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,IRIS VERSICOLOR,IRVE2,0.02,3,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,JUNCUS ACUMINATUS,JUAC,20.22,5,native,0,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,JUNCUS ACUMINATUS,JUAC,0.62,5,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,JUNCUS ACUMINATUS,JUAC,0.62,5,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,JUNCUS BREVICAUDATUS,JUBR4,0.42,3,native,1,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,JUNCUS BREVICAUDATUS,JUBR4,0.28,3,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,JUNCUS BREVICAUDATUS,JUBR4,2.8,3,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,LYCOPUS AMERICANUS,LYAM,0.06,3,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,LYSIMACHIA TERRESTRIS,LYTE2,0.02,3,native,1,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,LYSIMACHIA TERRESTRIS,LYTE2,0.08,3,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,LYSIMACHIA TERRESTRIS,LYTE2,0.08,3,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,MYRICA GALE,MYGA,35.02,5,native,0,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,MYRICA GALE,MYGA,36.6,5,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,MYRICA GALE,MYGA,46.4,5,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,NUPHAR LUTEA SSP. VARIEGATA,NULUV,0.02,4,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,POTAMOGETON EPIHYDRUS,POEP2,0.08,5,native,0,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,POTAMOGETON OAKESIANUS,POOA,0.64,7,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,POTAMOGETON OAKESIANUS,POOA,1.44,7,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,RHYNCHOSPORA ALBA,RHAL3,0.02,6,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,RHYNCHOSPORA ALBA,RHAL3,0.2,6,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,SPARGANIUM AMERICANUM,SPAM,7.62,5,native,0,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,SPARGANIUM AMERICANUM,SPAM,2.02,5,native,0,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,SPARGANIUM AMERICANUM,SPAM,1.2,5,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,SPARGANIUM EMERSUM,SPEM2,0.02,3,native,1,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,SPARGANIUM EMERSUM,SPEM2,1.2,3,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,SPARGANIUM EMERSUM,SPEM2,3.2,3,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,SPARGANIUM NATANS,SPNA,0.02,6,native,0,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,SPIRAEA ALBA,SPAL2,1.46,3,native,1,Gilmore Meadow
NWCA16-R304,GILM,SEN,Gilmore Meadow,2016,558038.9127,4912418.319,SPIRAEA ALBA,SPAL2,0.26,3,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,SPIRAEA ALBA VAR. LATIFOLIA,SPALL,1.64,3,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,SPIRAEA TOMENTOSA,SPTO2,0.02,4,native,1,Gilmore Meadow
NWC21-ME-HP304,GILM,SEN,Gilmore Meadow,2021,558038.9127,4912418.319,SPIRAEA TOMENTOSA,SPTO2,0.06,4,native,1,Gilmore Meadow
NWCA11-R304,GILM,SEN,Gilmore Meadow,2011,558038.9127,4912418.319,TRIADENUM VIRGINICUM,TRVI2,0.08,6,native,0,Gilmore Meadow
